id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
36985,ceers-full,5.6537,6,0.094465,0.188930,14.6150,14.6150,-0.0000,18.51,18.51,-0.00,1.0000,1.0000,-2.9178,-2.9178,0.0000,1150.2042,0.0000,1302.7839,Neutral
39094,ceers-full,4.7315,6,0.094421,0.188842,1977.4303,1977.4302,0.0000,1981.32,1981.32,0.00,1.0000,1.0000,-1.4709,-1.4711,2.9395,0.0085,69.3906,0.0385,Neutral
40589,ceers-full,8.0067,6,0.094493,0.188986,31.2016,30.5089,0.6927,35.09,34.40,0.69,1.0000,1.0000,-2.9994,-3.0000,11224.3968,8535.8660,0.0000,67452.4292,Neutral
41179,ceers-full,7.2423,6,0.094489,0.188977,720.0848,720.0850,-0.0001,723.98,723.98,-0.00,0.9886,1.0000,-1.7713,-1.7713,0.0000,0.4149,0.3987,1659.3934,Neutral
41913,ceers-full,5.2460,6,0.094451,0.188901,7402.7149,7311.2026,91.5124,7406.61,7315.09,91.51,1.0000,1.0000,-2.6587,-2.6694,77.3221,0.4180,17.1648,0.5980,Support
42093,ceers-full,6.4459,6,0.094481,0.188961,1627.4278,1627.4278,0.0000,1631.32,1631.32,0.00,1.0000,1.0000,-2.2711,-2.2712,0.1783,0.3690,0.2046,0.5195,Neutral
47021,ceers-full,8.0231,6,0.094493,0.188986,5.8862,5.8862,0.0000,9.78,9.78,0.00,0.9999,0.9999,-3.0000,-3.0000,475.3104,9.7383,473.1112,10.6092,Neutral
48983,ceers-full,7.1368,6,0.094488,0.188976,4342.1815,4342.1819,-0.0004,4346.07,4346.07,-0.00,1.0000,1.0000,-2.9165,-2.9165,0.0000,7965.5193,0.0000,4152.0444,Neutral
49360,ceers-full,4.7373,6,0.094421,0.188843,232.8104,232.8104,-0.0000,236.70,236.70,-0.00,1.0000,0.0177,-1.0494,-1.0494,0.0001,0.0000,0.0000,0.0000,Neutral
55490,ceers-full,7.1493,6,0.094488,0.188976,1673.0124,1673.0124,0.0000,1676.90,1676.90,0.00,1.0000,1.0000,-2.9102,-2.9102,151924.1144,16384.7347,248084.0049,29283.6029,Neutral
57051,ceers-full,5.6681,6,0.094465,0.188931,20.7167,20.7167,0.0000,24.61,24.61,0.00,1.0000,1.0000,-3.0000,-3.0000,10116.9311,407.4045,39335.6295,1733.6685,Neutral
58630,ceers-full,4.5468,6,0.094405,0.188811,1527.8301,1527.8301,-0.0000,1531.72,1531.72,-0.00,1.0000,0.3113,-1.4074,-1.4074,184.2898,164.0686,0.0000,0.0000,Neutral
59162,ceers-full,7.8411,6,0.094492,0.188984,122.1184,122.1184,0.0000,126.01,126.01,0.00,1.0000,1.0000,-3.0000,-3.0000,3518.6854,200.0692,3746.2440,233.1358,Neutral
59626,ceers-full,6.3671,6,0.094480,0.188959,2828.0731,2828.0731,-0.0000,2831.96,2831.96,-0.00,0.5685,0.3287,-1.3321,-1.3321,0.0000,0.0050,0.0000,0.0036,Neutral
60774,ceers-full,5.2848,6,0.094452,0.188904,234.8861,234.8862,-0.0000,238.78,238.78,-0.00,1.0000,1.0000,-2.9657,-2.9657,14519.1342,0.0000,14064.6701,0.0000,Neutral
61323,ceers-full,7.1270,6,0.094488,0.188976,11.3270,11.3270,-0.0000,15.22,15.22,-0.00,0.9994,1.0000,-2.6331,-2.6331,0.0000,0.1706,0.9428,22368.4946,Neutral
63106,ceers-full,5.6557,6,0.094465,0.188930,51.3700,51.3699,0.0001,55.26,55.26,0.00,1.0000,1.0000,-2.9507,-2.9507,21408.3549,421.3431,30648.3831,660.1786,Neutral
67137,ceers-full,7.4965,6,0.094490,0.188981,134.3768,134.3768,0.0000,138.27,138.27,0.00,0.9994,0.9994,-2.8899,-2.8903,1891.1837,3.4628,1981.9501,3.9655,Neutral
68816,ceers-full,4.5323,6,0.094404,0.188808,968.9021,968.9021,0.0000,972.79,972.79,0.00,1.0000,1.0000,-1.4340,-1.4339,39.7478,0.0737,0.0520,0.0806,Neutral
70681,ceers-full,7.9008,6,0.094492,0.188985,82.5067,82.5067,0.0000,86.40,86.40,0.00,1.0000,1.0000,-3.0000,-3.0000,2528.1252,107.5621,3300.9484,153.7139,Neutral
71267,ceers-full,7.5175,6,0.094490,0.188981,23.5230,23.5230,0.0000,27.41,27.41,0.00,0.9999,0.9999,-3.0000,-3.0000,1007.9499,2.4023,1043.8625,2.7230,Neutral
71321,ceers-full,7.1293,6,0.094488,0.188976,19.2484,19.2484,-0.0000,23.14,23.14,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,443.2300,0.0000,65287.0480,Neutral
71380,ceers-full,7.1263,6,0.094488,0.188976,417.9922,417.9922,-0.0000,421.88,421.88,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,1075.0592,0.0000,2586.6550,Neutral
72633,ceers-full,5.4434,6,0.094458,0.188917,115.7237,115.7237,0.0000,119.61,119.61,0.00,0.9996,0.9996,-2.5730,-2.5729,1089.6591,11.0914,999.7755,11.1391,Neutral
72956,ceers-full,8.9042,6,0.094496,0.188991,20.7602,20.7602,-0.0000,24.65,24.65,-0.00,1.0000,1.0000,-3.0000,-3.0000,2070.2686,0.0000,2031.3441,0.0000,Neutral
73890,ceers-full,5.6603,6,0.094465,0.188930,19.0149,19.0149,0.0000,22.91,22.91,0.00,0.9999,0.9999,-3.0000,-3.0000,1586.6375,18.5736,1497.8843,19.1911,Neutral
7242,primer-cosmos-west,5.6588,7,0.094465,0.188930,33.7298,33.7298,0.0000,71.69,71.69,0.00,0.9994,0.8064,-2.2432,-2.2433,165.8092,1.5032,0.5364,0.0053,Neutral
8118,primer-cosmos-west,5.6424,6,0.094465,0.188929,14.7470,14.7469,0.0000,18.64,18.64,0.00,1.0000,1.0000,-2.1140,-2.1140,13.3344,1093.5072,11.0200,13623.3955,Neutral
13074,primer-cosmos-west,5.2148,7,0.094449,0.188899,417.8804,417.8804,0.0000,839.99,839.99,0.00,1.0000,1.0000,-2.7285,-2.7285,183070.0364,4695.5914,332814.8578,9342.5904,Neutral
13666,primer-cosmos-west,5.2881,7,0.094452,0.188905,9.6510,9.4081,0.2429,23.53,23.04,0.49,0.9999,0.9998,-2.1626,-2.3280,0.0278,17.6891,403.7352,5.5676,Neutral
15233,primer-cosmos-west,4.9860,7,0.094438,0.188875,1109.4888,1109.4888,-0.0000,2223.20,2223.20,-0.00,1.0000,1.0000,-1.1841,-1.1841,0.3476,0.0049,0.1376,0.0002,Neutral
16152,primer-cosmos-west,5.7144,7,0.094467,0.188933,2209.4818,2209.4837,-0.0019,4423.19,4423.19,-0.00,1.0000,0.9999,-1.3461,-1.3461,3.2184,7245.9506,0.1613,42.8090,Neutral
18540,primer-cosmos-west,8.9337,7,0.094496,0.188991,7.6510,7.6510,-0.0000,19.53,19.53,-0.00,1.0000,1.0000,-3.0000,-3.0000,7509.5767,0.0000,3708.6402,0.0000,Neutral
21037,primer-cosmos-west,4.4761,7,0.094398,0.188796,362.6160,362.6160,0.0000,729.46,729.46,0.00,0.0129,1.0000,-1.2401,-1.2400,0.0000,0.0000,0.0420,0.0109,Neutral
21620,primer-cosmos-west,8.0871,7,0.094493,0.188986,1.4854,1.4854,0.0000,7.20,7.20,0.00,0.9999,0.9999,-3.0000,-3.0000,2056.7919,12.1083,1856.7704,11.9637,Neutral
22379,primer-cosmos-west,5.7349,7,0.094467,0.188934,101.0604,101.0604,0.0000,206.35,206.35,0.00,1.0000,1.0000,-1.7412,-1.7412,1.5113,0.1819,0.0000,0.0000,Neutral
22483,primer-cosmos-west,7.1355,7,0.094488,0.188976,11.2596,11.2596,0.0000,26.74,26.74,0.00,0.9999,0.9999,-3.0000,-3.0000,2542.6484,0.0000,2543.4074,0.0000,Neutral
22702,primer-cosmos-west,5.4312,7,0.094458,0.188916,453.1422,358.4086,94.7336,910.51,721.04,189.47,1.0000,0.9996,-2.5797,-2.6421,55.6676,0.5830,0.0000,3.4549,Support
25633,primer-cosmos-west,7.0511,7,0.094487,0.188974,334.5525,334.5525,-0.0000,673.33,673.33,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,1094.7441,0.0000,919.4068,Neutral
26495,primer-cosmos-west,5.0196,7,0.094440,0.188879,2725.6943,2725.6943,-0.0000,5455.61,5455.61,-0.00,1.0000,0.9949,-1.8968,-1.8968,0.0000,0.0000,0.0000,0.0000,Neutral
28491,primer-cosmos-west,5.5851,7,0.094463,0.188926,88.8800,88.8800,0.0000,181.99,181.99,0.00,1.0000,1.0000,-2.9015,-2.9015,96543.0716,113205.9945,93825.1054,120582.8864,Neutral
28500,primer-cosmos-west,5.4290,7,0.094458,0.188916,60.0358,60.0358,0.0000,124.30,124.30,0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,1162.5602,0.0000,1268.0793,Neutral
29372,primer-cosmos-west,5.3858,7,0.094456,0.188912,2.8722,2.8722,-0.0000,9.97,9.97,-0.00,0.9999,0.9999,-2.9637,-2.9637,1601.1203,0.0000,1601.3031,0.0000,Neutral
29568,primer-cosmos-west,4.3603,6,0.094385,0.188771,126.3193,126.3193,-0.0000,130.21,130.21,-0.00,1.0000,1.0000,-1.2577,-1.2578,135.7886,32.5416,0.0207,15.6072,Neutral
30073,primer-cosmos-west,6.0041,7,0.094473,0.188947,233.7612,233.7612,-0.0000,471.75,471.75,-0.00,0.9999,1.0000,-1.5787,-1.5787,0.0000,0.0000,0.2244,0.0315,Neutral
30145,primer-cosmos-west,5.6646,7,0.094465,0.188930,18.5988,18.5988,0.0000,41.42,41.42,0.00,0.9999,0.9999,-3.0000,-3.0000,2137.9907,7.2899,2285.9535,8.5307,Neutral
31319,primer-cosmos-west,6.3339,7,0.094479,0.188958,120.0851,120.0851,0.0000,244.40,244.40,0.00,0.9996,0.9995,-2.3651,-2.3651,1391.6027,0.0000,1288.3549,0.0000,Neutral
31661,primer-cosmos-west,4.4626,7,0.094397,0.188794,20.0422,20.0422,-0.0000,44.31,44.31,-0.00,1.0000,1.0000,-1.2501,-1.2501,39.4302,254.0846,92.5266,10.5610,Neutral
32535,primer-cosmos-west,5.7492,7,0.094467,0.188935,516.5448,516.5448,0.0000,1037.31,1037.31,0.00,0.6161,1.0000,-1.0200,-1.0200,0.0000,0.0000,717.0032,6.6502,Neutral
33230,primer-cosmos-west,4.7522,7,0.094423,0.188845,91.7931,91.7931,0.0000,187.81,187.81,0.00,1.0000,1.0000,-0.9956,-0.9957,167.4701,0.0000,463.7195,0.0000,Neutral
36162,primer-cosmos-west,6.4110,7,0.094480,0.188960,2048.3436,2048.3436,0.0000,4100.91,4100.91,0.00,1.0000,1.0000,-1.5360,-1.5360,136.2700,0.2271,465.0906,416.7718,Neutral
42656,primer-cosmos-west,5.6854,7,0.094466,0.188932,268.8386,268.8386,0.0000,541.90,541.90,0.00,0.9985,0.8953,-1.9768,-1.9767,213.7432,0.7665,3.1189,0.0122,Neutral
43505,primer-cosmos-west,4.6755,7,0.094417,0.188833,356.8747,356.8747,0.0000,717.97,717.97,0.00,1.0000,1.0000,-1.3345,-1.3345,99.6504,0.0010,261.9847,0.0033,Neutral
44446,primer-cosmos-west,7.1315,7,0.094488,0.188976,84.2159,84.2159,-0.0000,172.66,172.66,-0.00,0.9999,0.9999,-2.8486,-2.8486,1796.7311,0.0000,2117.3777,0.0000,Neutral
46914,primer-cosmos-west,5.6548,7,0.094465,0.188930,3.1979,3.1979,-0.0000,10.62,10.62,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,1029.6266,0.0000,519.0135,Neutral
47165,primer-cosmos-west,5.2338,7,0.094450,0.188900,200.0878,200.0878,-0.0000,404.40,404.40,-0.00,1.0000,1.0000,-2.8829,-2.8829,23548.3834,0.0000,22065.8134,0.0000,Neutral
50300,primer-cosmos-west,5.6961,7,0.094466,0.188932,5.3117,5.3117,0.0000,14.85,14.85,0.00,1.0000,1.0000,-1.8105,-1.8105,280.6476,0.3892,242.3931,0.3681,Neutral
50560,primer-cosmos-west,5.1459,7,0.094446,0.188892,131.3211,131.3211,-0.0000,266.87,266.87,-0.00,0.0504,0.0210,-1.1828,-1.1828,0.0000,0.0000,0.0000,0.0000,Neutral
51657,primer-cosmos-west,4.7941,7,0.094426,0.188851,5166.8470,5166.8471,-0.0001,10337.92,10337.92,-0.00,1.0000,1.0000,-1.6377,-1.6375,0.0000,0.0000,1.2741,0.0035,Neutral
53626,primer-cosmos-west,5.6552,7,0.094465,0.188930,29.5953,29.6021,-0.0069,63.42,63.43,-0.01,1.0000,1.0000,-3.0000,-3.0000,4794.2751,17.9300,4659.7177,18.8860,Neutral
54067,primer-cosmos-west,5.6564,7,0.094465,0.188930,3.1117,3.1117,0.0000,10.45,10.45,0.00,1.0000,1.0000,-3.0000,-3.0000,1749.8106,9.0912,2532.7400,14.4021,Neutral
55716,primer-cosmos-west,4.4383,7,0.094394,0.188788,3327.9851,3327.9851,-0.0000,6660.20,6660.20,-0.00,1.0000,1.0000,-1.5054,-1.5056,1.8500,0.3930,0.1727,0.3431,Neutral
1498,gds,4.6634,7,0.094416,0.188831,2087.3222,2087.3222,-0.0000,4178.87,4178.87,-0.00,1.0000,1.0000,-1.8144,-1.8145,0.0000,0.0000,0.1745,0.0871,Neutral
2981,gds,4.8122,7,0.094427,0.188854,250.0582,250.0582,-0.0000,504.34,504.34,-0.00,0.2150,0.1333,-1.6304,-1.6304,0.0000,0.0002,0.0000,0.0002,Neutral
3099,gds,5.4584,7,0.094459,0.188918,64.1267,64.1267,0.0000,132.48,132.48,0.00,1.0000,1.0000,-3.0000,-3.0000,0.0005,304945.9366,0.0001,101916.4518,Neutral
5434,gds,4.1073,7,0.094349,0.188699,1097.5118,1097.5118,0.0000,2199.25,2199.25,0.00,0.9996,1.0000,-1.6501,-1.6501,0.0000,0.0000,0.0000,0.0000,Neutral
14381,gds,5.4444,7,0.094458,0.188917,13.1980,13.1980,0.0000,30.62,30.62,0.00,0.9999,0.9999,-3.0000,-3.0000,936.2475,3.0316,948.5157,3.3615,Neutral
14605,gds,6.9281,7,0.094486,0.188972,717.3676,717.3676,0.0000,1438.96,1438.96,0.00,0.9995,0.9993,-1.5971,-1.5971,634.3735,0.0000,467.4015,0.0000,Neutral
16053,gds,6.9018,7,0.094486,0.188972,42.6312,42.6312,-0.0000,89.49,89.49,-0.00,1.0000,1.0000,-0.8159,-0.8159,460.9681,0.0000,346.1179,0.0000,Neutral
18537,gds,4.2773,7,0.094375,0.188750,1975.2683,1975.2683,-0.0000,3954.76,3954.76,-0.00,0.0245,1.0000,-1.0780,-1.0780,0.0000,0.0000,133.4152,96.2200,Neutral
22388,gds,7.1819,6,0.094488,0.188976,63825.8080,63825.7436,0.0644,63829.70,63829.63,0.06,1.0000,1.0000,-2.7056,-2.7056,85138.0659,6192.1184,114196.7827,9090.3028,Neutral
23636,gds,7.1328,6,0.094488,0.188976,524.3155,524.3155,0.0000,528.21,528.21,0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,21358.0972,0.0002,128770.2876,Neutral
23868,gds,8.9276,6,0.094496,0.188991,64.1089,64.1089,-0.0000,68.00,68.00,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,145.7180,0.0014,817.4012,Neutral
29303,gds,5.9860,7,0.094473,0.188946,126.8926,126.8926,0.0000,258.01,258.01,0.00,0.9999,0.9999,-2.9729,-2.9729,1999.9913,0.4809,1807.3281,0.4756,Neutral
32147,gds,4.6032,7,0.094410,0.188821,2353.6185,2353.6184,0.0001,4711.46,4711.46,0.00,1.0000,1.0000,-1.7525,-1.7525,0.7305,10395.3474,0.0010,14520.2534,Neutral
32402,gds,4.9424,7,0.094435,0.188870,15.1874,15.1874,0.0000,34.60,34.60,0.00,0.4157,0.9994,-2.1166,-2.1166,0.0531,0.0006,47.9151,0.6175,Neutral
35367,gds,5.4895,7,0.094460,0.188920,10171.9112,10171.9112,-0.0000,20348.05,20348.05,-0.00,0.9998,1.0000,-2.3323,-2.3323,0.0000,0.0000,0.0000,0.0000,Neutral
37563,gds,5.7131,7,0.094467,0.188933,297.7388,297.7388,0.0000,599.70,599.70,0.00,0.9990,0.9985,-2.1514,-2.1514,271.9999,0.0000,184.6751,0.0000,Neutral
39509,gds,4.2877,7,0.094376,0.188752,108.3881,108.3881,-0.0000,221.00,221.00,-0.00,0.0164,1.0000,-1.2463,-1.2463,0.0000,0.0001,0.3196,9754.0514,Neutral
41129,gds,7.1334,7,0.094488,0.188976,646.4585,646.5731,-0.1145,1297.14,1297.37,-0.23,1.0000,1.0000,-3.0000,-3.0000,0.0000,62.3673,0.3924,0.1139,Neutral
44531,gds,7.1241,6,0.094488,0.188976,6.8383,6.8383,0.0000,10.73,10.73,0.00,1.0000,1.0000,-2.9076,-2.9077,1915.7994,26.4095,3187.2283,48.0845,Neutral
45202,gds,7.1313,6,0.094488,0.188976,1626.7660,1626.7660,-0.0000,1630.66,1630.66,-0.00,0.9974,1.0000,-3.0000,-3.0000,0.0000,0.1311,0.0000,170.7225,Neutral
46221,gds,4.0452,7,0.094339,0.188677,645.8141,645.8142,-0.0000,1295.85,1295.85,-0.00,0.0660,0.0709,-1.2847,-1.2847,0.0000,0.0000,0.0000,0.0000,Neutral
46281,gds,4.7896,7,0.094425,0.188850,116.2586,116.2586,-0.0000,236.74,236.74,-0.00,0.3333,0.0678,-1.5433,-1.5433,0.0000,0.0000,0.0000,0.0000,Neutral
51983,gds,7.1353,6,0.094488,0.188976,530.1910,530.1910,-0.0000,534.08,534.08,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,502.7148,0.0000,602.1438,Neutral
52017,gds,6.3311,7,0.094479,0.188958,313.1563,313.1563,0.0000,630.54,630.54,0.00,0.9990,0.9990,-2.0246,-2.0247,72.7519,0.6620,72.8058,0.7249,Neutral
64049,gds,5.2713,7,0.094452,0.188903,10.2647,10.2647,0.0000,24.75,24.75,0.00,0.9999,0.9999,-2.6743,-2.6743,411.3337,0.1533,350.3321,0.1426,Neutral
65646,gds,5.6581,7,0.094465,0.188930,226.7173,225.0617,1.6556,457.66,454.35,3.31,1.0000,1.0000,-3.0000,-3.0000,18510.0244,23785.2540,0.0544,215133.0628,Neutral
66116,gds,6.8464,7,0.094485,0.188971,1284.1928,1262.8331,21.3597,2572.61,2529.89,42.72,1.0000,0.9999,-2.6940,-2.8772,2340.2638,0.1692,2647.2351,0.0000,Support
