ID,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,N_filt
1072,primer-uds-north,8.91,0.073,4.297161484601889e+83,2.098633337983073e+83,2.1985281466188162e+83,8.594322969203779e+83,4.197266675966146e+83,4.3970562932376324e+83,1.0,0.0,0.5,1.2,8.99,6
1381,primer-uds-north,5.66,0.0266,3.80730844076894e+82,2.8848257334312456e+82,9.22482707337694e+81,1.142192532230682e+83,8.654477200293737e+82,2.7674481220130828e+82,1.0,0.0,0.5,1.2,8.83,7
1470,primer-uds-north,5.4,0.0238,3.625846829897218e+82,2.8307592813920424e+82,7.950875485051757e+81,1.0877540489691654e+83,8.492277844176127e+82,2.3852626455155275e+82,1.0,0.0,0.5,1.2,3.55,7
1544,primer-uds-north,5.46,0.0245,1.380491718821049e+83,1.110485405540989e+83,2.700063132800599e+82,4.141475156463146e+83,3.331456216622967e+83,8.100189398401795e+82,1.0,0.0,0.5,1.2,2.46,7
1939,primer-uds-north,4.36,0.0144,1.6965694284148563e+83,1.4368788326986128e+83,2.5969059571624352e+82,5.089708285244569e+83,4.3106364980958387e+83,7.790717871487308e+82,1.0,0.0,0.5,1.2,10.97,7
3992,primer-uds-north,5.66,0.0266,1.4256095587196655e+84,1.0806732898811284e+84,3.4493626883853717e+83,4.276828676158997e+84,3.242019869643385e+84,1.034808806515612e+84,1.0,0.0,0.5,1.2,12.28,7
7991,primer-uds-north,5.66,0.0265,5.038895010759144e+83,3.863284591779659e+83,1.1756104189794843e+83,1.0077790021518287e+84,7.726569183559319e+83,2.3512208379589688e+83,1.0,0.0,0.5,1.2,41.91,6
8559,primer-uds-north,7.94,0.0567,5.284339339997669e+84,3.0434548355528213e+84,2.240884504444848e+84,1.585301801999301e+85,9.130364506658464e+84,6.722653513334544e+84,1.0,0.0,0.5,1.2,5.82,7
10404,primer-uds-north,5.66,0.0265,2.2892063953921164e+84,1.7361087444001694e+84,5.530976509919467e+83,6.86761918617635e+84,5.208326233200509e+84,1.6592929529758402e+84,1.0,0.0,0.5,1.2,18.72,7
11219,primer-uds-north,5.43,0.0242,1.145477957865917e+84,8.945731080997044e+83,2.509048497662126e+83,3.436433873597751e+84,2.6837193242991133e+84,7.527145492986378e+83,1.0,0.0,0.5,1.2,10.32,7
14419,primer-uds-north,4.82,0.0183,2.9610720332660706e+83,2.48890287349933e+83,4.721691597667406e+82,8.883216099798212e+83,7.46670862049799e+83,1.4165074793002224e+83,1.0,0.0,0.5,1.2,10.43,7
15257,primer-uds-north,6.92,0.0419,1.241400130438919e+84,8.313132889553164e+83,4.1008684148360256e+83,3.7242003913167573e+84,2.493939866865949e+84,1.2302605244508082e+84,1.0,0.0,0.5,1.2,5.13,7
16999,primer-uds-north,4.21,0.0132,8.643807772770524e+83,7.425720153946647e+83,1.218087618823876e+83,2.593142331831157e+84,2.227716046183994e+84,3.654262856471629e+83,1.0,0.0,0.5,1.2,15.58,7
18804,primer-uds-north,4.32,0.0141,1.9198767360954472e+84,1.6928531410048211e+84,2.2702359509062604e+83,5.759630208286341e+84,5.078559423014463e+84,6.810707852718779e+83,1.0,0.0,0.5,1.2,7.18,7
18892,primer-uds-north,4.73,0.0175,1.4589801018779064e+83,1.1851048546865342e+83,2.7387524719137215e+82,4.376940305633719e+83,3.5553145640596025e+83,8.216257415741163e+82,1.0,0.0,0.5,1.2,11.74,7
19416,primer-uds-north,5.43,0.0242,1.794908221921657e+83,1.401200044857513e+83,3.937081770641439e+82,5.384724665764971e+83,4.203600134572539e+83,1.1811245311924322e+83,1.0,0.0,0.5,1.2,3.57,7
21108,primer-uds-north,7.14,0.0449,2.4966842664927347e+84,1.5684063961534525e+84,9.282778703392823e+83,7.490052799478205e+84,4.7052191884603575e+84,2.7848336110178463e+84,1.0,0.0,0.5,1.2,11.86,7
22773,primer-uds-north,4.4,0.0147,2.3550003908772788e+83,2.059993477029225e+83,2.950069138480537e+82,7.065001172631836e+83,6.179980431087676e+83,8.850207415441608e+82,1.0,0.0,0.5,1.2,4.57,7
23575,primer-uds-north,5.66,0.0266,3.309074267675535e+83,2.5080704604773813e+83,8.01003807198154e+82,9.927222803026606e+83,7.524211381432144e+83,2.4030114215944624e+83,1.0,0.0,0.5,1.2,11.21,7
24081,primer-uds-north,5.66,0.0266,1.2941585851564618e+84,9.814262865001667e+83,3.1273229865629516e+83,3.8824757554693857e+84,2.9442788595005e+84,9.381968959688854e+83,1.0,0.0,0.5,1.2,9.25,7
24100,primer-uds-north,4.99,0.0199,1.333936761102214e+84,1.0983250111685415e+84,2.3561174993367253e+83,4.001810283306642e+84,3.2949750335056246e+84,7.068352498010172e+83,1.0,0.0,0.5,1.2,6.68,7
29106,primer-uds-north,5.2,0.0219,8.10137801230774e+83,6.50741199687947e+83,1.5939660154282707e+83,2.430413403692322e+84,1.952223599063841e+84,4.781898046284813e+83,1.0,0.0,0.5,1.2,5.95,7
29110,primer-uds-north,7.13,0.0448,1.44265528301415e+83,9.521306884683282e+82,4.9052459454582186e+82,2.8853105660283e+83,1.9042613769366564e+83,9.810491890916437e+82,1.0,0.0,0.5,1.2,13.87,6
31581,primer-uds-north,4.16,0.0129,6.9455582872620845e+81,6.220463427675888e+81,7.250948595861959e+80,2.0836674861786254e+82,1.8661390283027667e+82,2.1752845787585877e+81,1.0,0.0,0.5,1.2,8.76,7
31645,primer-uds-north,4.76,0.0177,2.9111991006002466e+83,2.45142668510129e+83,4.5977241549895646e+82,8.733597301800741e+83,7.35428005530387e+83,1.37931724649687e+83,1.0,0.0,0.5,1.2,4.9,7
32025,primer-uds-north,4.04,0.012,3.970859572688338e+83,3.6134391178564795e+83,3.574204548318587e+82,1.1912578718065015e+84,1.0840317353569439e+84,1.0722613644955767e+83,1.0,0.0,0.5,1.2,6.43,7
32237,primer-uds-north,4.61,0.0165,4.879558275961065e+84,4.173290142938267e+84,7.062681330227981e+83,1.4638674827883196e+85,1.2519870428814802e+85,2.1188043990683936e+84,1.0,0.0,0.5,1.2,8.04,7
32986,primer-uds-north,4.15,0.0128,1.5912087022844094e+82,1.426109553476447e+82,1.6509914880796218e+81,4.7736261068532285e+82,4.2783286604293416e+82,4.952974464238869e+81,1.0,0.0,0.5,1.2,3.19,7
33332,primer-uds-north,4.54,0.0159,3.0006533769267574e+83,2.598939310735643e+83,4.0171406619111455e+82,9.001960130780272e+83,7.796817932206927e+83,1.2051421985733436e+83,1.0,0.0,0.5,1.2,2.97,7
33774,primer-uds-north,7.14,0.0449,1.406872979952423e+84,8.835803306812186e+83,5.232926492712045e+83,4.220618939857269e+84,2.6507409920436557e+84,1.5698779478136134e+84,1.0,0.0,0.5,1.2,4.19,7
35111,primer-uds-north,5.66,0.0266,7.875341833623969e+83,5.971707642555297e+83,1.903634191068672e+83,2.3626025500871905e+84,1.791512292766589e+84,5.710902573206016e+83,1.0,0.0,0.5,1.2,8.97,7
36327,primer-uds-north,7.86,0.0556,6.789464880097054e+83,3.8682283911774575e+83,2.9212364889195963e+83,2.0368394640291163e+84,1.1604685173532372e+84,8.763709466758791e+83,1.0,0.0,0.5,1.2,5.09,7
42014,primer-uds-north,4.55,0.016,2.4120882510811105e+81,2.1142249170182203e+81,2.978633340628902e+80,4.824176502162221e+81,4.228449834036441e+81,5.957266681257804e+80,1.0,0.0,0.5,1.2,5.15,6
42859,primer-uds-north,6.58,0.0375,1.3635671338663755e+84,9.373202052808403e+83,4.262469285855352e+83,4.090701401599127e+84,2.8119606158425207e+84,1.278740785756606e+84,1.0,0.0,0.5,1.2,28.92,7
43738,primer-uds-north,5.09,0.0208,3.1593668775389584e+84,2.5713121544078297e+84,5.880547231311287e+83,9.478100632616875e+84,7.7139364632234895e+84,1.764164169393385e+84,1.0,0.0,0.5,1.2,11.86,7
43932,primer-uds-north,4.24,0.0134,2.2502678806617116e+83,1.9176165957530946e+83,3.32651284908617e+82,6.750803641985135e+83,5.752849787259284e+83,9.97953854725851e+82,1.0,0.0,0.5,1.2,3.18,7
44053,primer-uds-north,5.44,0.0242,3.628020248177539e+83,2.8301380177845636e+83,7.978822303929752e+82,1.0884060744532616e+84,8.490414053353689e+83,2.3936466911789265e+83,1.0,0.0,0.5,1.2,11.83,7
44681,primer-uds-north,4.58,0.0162,4.868476633942716e+83,4.0171973584131237e+83,8.512792755295929e+82,1.460542990182815e+84,1.205159207523937e+84,2.553837826588779e+83,1.0,0.0,0.5,1.2,8.45,7
46085,primer-uds-north,4.79,0.018,4.133191573988576e+84,3.4851853663635577e+84,6.480062076250181e+83,1.2399574721965726e+85,1.0455556099090673e+85,1.9440186228750537e+84,1.0,0.0,0.5,1.2,6.07,7
48927,primer-uds-north,7.91,0.0563,9.810926336761462e+82,5.649492838592776e+82,4.161433498168686e+82,1.9621852673522923e+83,1.1298985677185552e+83,8.322866996337372e+82,1.0,0.0,0.5,1.2,4.37,6
52141,primer-uds-north,7.13,0.0448,7.033243829984124e+83,4.435498996546484e+83,2.59774483343764e+83,2.109973148995237e+84,1.330649698963945e+84,7.793234500312919e+83,1.0,0.0,0.5,1.2,4.19,7
52856,primer-uds-north,6.32,0.0342,2.765061560733402e+83,1.970303232722758e+83,7.94758328010644e+82,8.295184682200206e+83,5.910909698168274e+83,2.3842749840319318e+83,1.0,0.0,0.5,1.2,1.58,7
53667,primer-uds-north,4.56,0.0161,4.011882441355282e+83,3.4525616241451625e+83,5.593208172101189e+82,1.2035647324065846e+84,1.035768487243549e+84,1.6779624516303567e+83,1.0,0.0,0.5,1.2,6.01,7
54143,primer-uds-north,4.73,0.0175,1.4361389304714149e+83,1.212879525612902e+83,2.232594048585127e+82,4.308416791414245e+83,3.6386385768387066e+83,6.697782145755377e+82,1.0,0.0,0.5,1.2,3.27,7
54603,primer-uds-north,5.65,0.0265,3.8074256854670766e+83,2.8885418382625286e+83,9.188838472045485e+82,1.1422277056401232e+84,8.665625514787584e+83,2.7566515416136466e+83,1.0,0.0,0.5,1.2,4.56,7
55902,primer-uds-north,8.67,0.0689,3.74612742253437e+84,1.9168449506499218e+84,1.8292824718844483e+84,1.123838226760311e+85,5.750534851949766e+84,5.487847415653345e+84,1.0,0.0,0.5,1.2,5.68,7
56783,primer-uds-north,5.31,0.023,1.5680431602737906e+83,1.241872518119139e+83,3.261706421546517e+82,4.704129480821373e+83,3.725617554357417e+83,9.785119264639558e+82,1.0,0.0,0.5,1.2,21.48,7
57469,primer-uds-north,5.67,0.0267,2.7059978479713216e+84,2.048710994555517e+84,6.572868534158048e+83,8.117993543913965e+84,6.146132983666551e+84,1.9718605602474145e+84,1.0,0.0,0.5,1.2,4.55,7
57944,primer-uds-north,5.29,0.0227,2.986177316893008e+83,2.3715081525304733e+83,6.146691643625346e+82,8.958531950679025e+83,7.11452445759142e+83,1.8440074930876047e+83,1.0,0.0,0.5,1.2,7.56,7
61010,primer-uds-north,7.13,0.0448,6.568274364060565e+82,4.1794638669081994e+82,2.388810497152366e+82,1.313654872812113e+83,8.358927733816399e+82,4.777620994304732e+82,1.0,0.0,0.5,1.2,4.25,6
61298,primer-uds-north,5.24,0.0223,4.1664768955301227e+83,3.315850754852133e+83,8.506261406779899e+82,1.2499430686590367e+84,9.947552264556397e+83,2.55187842203397e+83,1.0,0.0,0.5,1.2,12.24,7
61378,primer-uds-north,7.46,0.0495,8.063307030119425e+82,5.046676710655231e+82,3.0166303194641935e+82,1.612661406023885e+83,1.0093353421310462e+83,6.033260638928387e+82,1.0,0.0,0.5,1.2,2.52,6
62716,primer-uds-north,5.39,0.0237,1.0599659604798224e+84,8.320489465991639e+83,2.2791701388065858e+83,3.1798978814394673e+84,2.4961468397974917e+84,6.837510416419756e+83,1.0,0.0,0.5,1.2,4.87,7
64273,primer-uds-north,7.13,0.0448,6.263712631783216e+82,4.132431228783077e+82,2.131281403000139e+82,1.2527425263566432e+83,8.264862457566154e+82,4.262562806000278e+82,1.0,0.0,0.5,1.2,10.5,6
66007,primer-uds-north,4.6,0.0163,9.010095233443982e+82,7.422542108465038e+82,1.5875531249789438e+82,2.7030285700331944e+83,2.2267626325395114e+83,4.76265937493683e+82,1.0,0.0,0.5,1.2,12.4,7
67270,primer-uds-north,5.67,0.0266,8.75957461820763e+83,6.634546495878534e+83,2.1250281223290968e+83,2.627872385462289e+84,1.99036394876356e+84,6.375084366987289e+83,1.0,0.0,0.5,1.2,9.93,7
68006,primer-uds-north,5.16,0.0215,1.5968876696030684e+84,1.2891650950148678e+84,3.077225745882006e+83,4.790663008809205e+84,3.8674952850446034e+84,9.231677237646015e+83,1.0,0.0,0.5,1.2,17.17,7
69921,primer-uds-north,5.65,0.0265,4.274195727248077e+83,3.2413639092646784e+83,1.0328318179833988e+83,1.2822587181744232e+84,9.724091727794036e+83,3.098495453950196e+83,1.0,0.0,0.5,1.2,14.53,7
69936,primer-uds-north,7.03,0.0435,1.1312303979048703e+84,7.434920388877865e+83,3.877383590170838e+83,3.3936911937146107e+84,2.2304761166633596e+84,1.163215077051251e+84,1.0,0.0,0.5,1.2,3.61,7
70423,primer-uds-north,5.48,0.0247,2.7140759790913886e+82,2.128188346345624e+82,5.858876327457641e+81,5.4281519581827765e+82,4.256376692691248e+82,1.1717752654915282e+82,1.0,0.0,0.5,1.2,16.2,6
70813,primer-uds-north,4.71,0.0173,3.008420845143559e+83,2.558777956570959e+83,4.496428885726004e+82,9.025262535430676e+83,7.676333869712876e+83,1.348928665717801e+83,1.0,0.0,0.5,1.2,6.03,7
71037,primer-uds-north,6.85,0.041,3.8397588025624398e+84,2.5281952767042672e+84,1.3115635258581725e+84,1.151927640768732e+85,7.584585830112801e+84,3.934690577574518e+84,1.0,0.0,0.5,1.2,14.7,7
71893,primer-uds-north,6.43,0.0355,1.6623440188840208e+83,1.2017082319067863e+83,4.606357869772342e+82,4.987032056652062e+83,3.605124695720359e+83,1.3819073609317027e+83,1.0,0.0,0.5,1.2,4.21,7
4278,primer-cosmos-east,5.66,0.0266,1.2410807235438088e+83,9.41795379455421e+82,2.9928534408838785e+82,3.7232421706314263e+83,2.825386138366263e+83,8.978560322651634e+82,1.0,0.0,0.5,1.2,3.48,7
6282,primer-cosmos-east,5.67,0.0267,1.3616641408167754e+84,1.0307072478937996e+84,3.3095689292297554e+83,4.084992422450325e+84,3.0921217436813987e+84,9.928706787689266e+83,1.0,0.0,0.5,1.2,4.82,7
9227,primer-cosmos-east,5.71,0.0272,6.863714772840215e+84,5.355884135663199e+84,1.5078306371770165e+84,2.0591144318520646e+85,1.6067652406989595e+85,4.523491911531051e+84,1.0,0.0,0.5,1.2,3.14,7
10696,primer-cosmos-east,5.67,0.0267,2.5143033046680714e+83,1.9037007228582804e+83,6.10602581809791e+82,7.542909914004214e+83,5.711102168574841e+83,1.8318077454293729e+83,1.0,0.0,0.5,1.2,7.7,7
11967,primer-cosmos-east,5.48,0.0247,3.611843031268793e+82,2.8981128074003814e+82,7.137302238684116e+81,1.0835529093806378e+83,8.694338422201144e+82,2.141190671605234e+82,1.0,0.0,0.5,1.2,5.15,7
14086,primer-cosmos-east,7.13,0.0447,8.934540641736944e+83,5.800021546270306e+83,3.1345190954666363e+83,2.6803621925210827e+84,1.7400064638810922e+84,9.403557286399908e+83,1.0,0.0,0.5,1.2,11.3,7
14487,primer-cosmos-east,7.17,0.0453,2.4771046343847713e+83,1.5909003939634304e+83,8.862042404213405e+82,7.431313903154315e+83,4.772701181890292e+83,2.6586127212640227e+83,1.0,0.0,0.5,1.2,4.53,7
15393,primer-cosmos-east,5.69,0.0269,4.973161088578768e+82,3.755343063072177e+82,1.2178180255065908e+82,1.4919483265736303e+83,1.1266029189216532e+83,3.6534540765197716e+82,1.0,0.0,0.5,1.2,4.27,7
15850,primer-cosmos-east,7.05,0.0436,1.082751755577904e+85,7.101926201777762e+84,3.725591354001276e+84,3.248255266733711e+85,2.1305778605333286e+85,1.1176774062003825e+85,1.0,0.0,0.5,1.2,18.0,7
16083,primer-cosmos-east,4.58,0.0162,5.777892984923686e+83,4.963565247749181e+83,8.14327737174505e+82,1.7333678954771055e+84,1.4890695743247541e+84,2.442983211523516e+83,1.0,0.0,0.5,1.2,6.66,7
16408,primer-cosmos-east,4.57,0.0161,3.3912103017000254e+83,2.9143234054449165e+83,4.768868962551088e+82,1.0173630905100076e+84,8.742970216334748e+83,1.4306606887653266e+83,1.0,0.0,0.5,1.2,6.29,7
16563,primer-cosmos-east,5.02,0.0201,4.164069136457893e+84,3.417062081802512e+84,7.470070546553813e+83,1.249220740937368e+85,1.0251186245407535e+85,2.2410211639661453e+84,1.0,0.0,0.5,1.2,12.77,7
17813,primer-cosmos-east,5.23,0.0221,7.996543331271125e+82,6.607431910961252e+82,1.3891114203098728e+82,2.3989629993813376e+83,1.9822295732883757e+83,4.1673342609296184e+82,1.0,0.0,0.5,1.2,8.08,7
18893,primer-cosmos-east,4.85,0.0185,1.23374465232768e+83,9.943967167054925e+82,2.3934793562218754e+82,3.70123395698304e+83,2.9831901501164774e+83,7.180438068665624e+82,1.0,0.0,0.5,1.2,1.58,7
19462,primer-cosmos-east,4.37,0.0144,4.265357707226795e+81,3.810060536846656e+81,4.55297170380139e+80,8.53071541445359e+81,7.620121073693312e+81,9.105943407602781e+80,1.0,0.0,0.5,1.2,7.04,6
19946,primer-cosmos-east,5.97,0.0301,1.3964146911217751e+84,1.0470777813359181e+84,3.49336909785857e+83,4.189244073365325e+84,3.1412333440077544e+84,1.0480107293575708e+84,1.0,0.0,0.5,1.2,5.61,7
20187,primer-cosmos-east,6.61,0.0378,3.7589423942327692e+84,2.5646440126697733e+84,1.194298381562996e+84,1.1276827182698307e+85,7.693932038009319e+84,3.582895144688988e+84,1.0,0.0,0.5,1.2,9.15,7
21943,primer-cosmos-east,4.72,0.0174,2.300014714345305e+83,1.8795670812626253e+83,4.2044763308267924e+82,6.900044143035915e+83,5.638701243787876e+83,1.2613428992480383e+83,1.0,0.0,0.5,1.2,5.69,7
23571,primer-cosmos-east,4.76,0.0178,8.785607805166452e+82,7.394253163968918e+82,1.3913546411975344e+82,2.6356823415499356e+83,2.218275949190675e+83,4.174063923592602e+82,1.0,0.0,0.5,1.2,3.11,7
26971,primer-cosmos-east,6.41,0.0353,7.945814995671065e+84,5.612003860987024e+84,2.333811134684041e+84,2.3837444987013196e+85,1.6836011582961072e+85,7.001433404052124e+84,1.0,0.0,0.5,1.2,4.35,7
27072,primer-cosmos-east,4.96,0.0195,2.2007806524526e+84,1.8236765333746013e+84,3.7710411907799866e+83,6.602341957357802e+84,5.471029600123805e+84,1.1313123572339962e+84,1.0,0.0,0.5,1.2,0.91,7
27765,primer-cosmos-east,5.17,0.0216,6.676099352856481e+83,5.381723499901449e+83,1.2943758529550315e+83,2.0028298058569443e+84,1.6145170499704347e+84,3.8831275588650965e+83,1.0,0.0,0.5,1.2,7.74,7
