id,field,z_phot,z_dist_fossil,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,Av_null,Av_geff,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
36872,primer-uds-south,7.135,0.16998,18.09,20.53,-2.44,45.9,50.8,-4.9,4.39,4.25,0.2853,0.01,13.7,Null wins,7
37557,primer-uds-south,5.656,0.16998,40.25,57.86,-17.61,90.2,125.5,-35.2,3.46,3.76,0.0002,2.5,8.87,Null wins,7
37751,primer-uds-south,5.359,0.16998,14.29,14.43,-0.14,38.3,38.6,-0.3,4.02,4.16,0.2292,0.01,14.06,Neutral,7
37878,primer-uds-south,4.773,0.16998,14.87,11.25,3.62,39.5,32.2,7.2,0.0,0.0,0.0766,1.011,4.25,Weak,7
39711,primer-uds-south,5.462,0.16998,20.2,20.14,0.06,50.1,50.0,0.1,2.04,2.17,0.0004,2.5,4.24,Neutral,7
44435,primer-uds-south,5.173,0.16998,63.7,63.86,-0.16,137.1,137.5,-0.3,1.52,1.68,0.0945,0.581,10.87,Neutral,7
45383,primer-uds-south,4.855,0.16998,10.72,10.71,0.01,31.2,31.1,0.0,0.62,0.79,0.0703,0.847,4.28,Neutral,7
45637,primer-uds-south,4.536,0.16998,535.2,505.06,30.14,1080.1,1019.9,60.3,0.0,0.0,0.143,0.741,3.17,Support,7
47509,primer-uds-south,5.659,0.16998,46.49,1.31,45.18,102.7,12.4,90.4,2.59,1.67,0.0002,2.5,4.74,Support,7
48686,primer-uds-south,4.844,0.16998,2.06,1.9,0.16,13.9,13.5,0.3,0.0,0.0,0.112,0.87,3.27,Neutral,7
48982,primer-uds-south,5.388,0.16998,7.42,7.36,0.06,24.6,24.5,0.1,2.88,3.01,0.2751,0.01,7.34,Neutral,7
50716,primer-uds-south,7.864,0.16998,2.83,101.54,-98.71,15.4,212.8,-197.4,2.45,0.59,0.4634,0.01,12.93,Null wins,7
51593,primer-uds-south,4.458,0.16998,179.42,41.84,137.58,368.6,93.4,275.2,0.47,0.0,0.2067,0.226,17.28,Support,7
52581,primer-uds-south,6.167,0.16998,1172.62,859.83,312.79,2355.0,1729.4,625.6,0.66,0.0,0.3812,0.01,10.02,Support,7
55634,primer-uds-south,6.88,0.16998,200.84,194.51,6.33,411.4,398.7,12.7,0.0,0.0,0.1155,0.774,1.66,Weak,7
55783,primer-uds-south,4.626,0.16998,838.32,838.65,-0.33,1686.4,1687.0,-0.7,0.37,0.49,0.1898,0.132,6.8,Neutral,7
57494,primer-uds-south,4.024,0.16998,2282.81,1165.05,1117.76,4575.4,2339.8,2235.5,0.39,0.0,0.2937,0.313,5.17,Support,7
59568,primer-uds-south,8.902,0.16998,17.87,18.49,-0.62,45.5,46.7,-1.2,0.32,0.33,0.4417,0.01,8.96,Neutral,7
59880,primer-uds-south,5.663,0.16998,1.81,0.35,1.46,13.3,10.4,2.9,3.76,3.87,0.0005,2.5,8.79,Neutral,7
59971,primer-uds-south,5.392,0.16998,2.38,2.37,0.0,14.5,14.5,0.0,2.5,2.63,0.0009,2.5,3.62,Neutral,7
60046,primer-uds-south,5.463,0.16998,53.78,53.61,0.16,117.3,117.0,0.3,1.47,1.6,0.0005,2.5,2.46,Neutral,7
60446,primer-uds-south,4.366,0.16998,111.41,63.41,48.0,232.5,136.5,96.0,1.31,0.97,0.2846,0.01,10.71,Support,7
62395,primer-uds-south,5.659,0.16998,0.42,17.66,-17.24,10.6,45.0,-34.5,4.49,5.0,0.2736,0.01,12.46,Null wins,7
66511,primer-uds-south,7.131,0.16998,23.32,24.18,-0.86,56.4,58.1,-1.7,3.85,3.98,0.1225,0.01,40.22,Neutral,7
67076,primer-uds-south,7.937,0.16998,4.68,56.36,-51.68,19.1,122.4,-103.4,3.88,0.96,0.4877,0.01,5.8,Null wins,7
68947,primer-uds-south,5.656,0.16998,4.93,55.5,-50.57,19.6,120.7,-101.1,4.47,4.95,0.1824,0.01,17.99,Null wins,7
69772,primer-uds-south,5.429,0.16998,1.01,0.98,0.03,11.8,11.7,0.1,3.65,3.79,0.0406,0.849,10.35,Neutral,7
6756,ceers-full,7.136,0.16998,6.05,6.5,-0.45,15.0,15.5,-0.4,0.9,1.02,0.2383,0.01,8.91,Neutral,6
9246,ceers-full,4.604,0.16998,471.16,387.71,83.45,480.1,396.7,83.5,0.0,0.0,0.0945,0.649,7.99,Support,6
12234,ceers-full,6.142,0.16998,1160.57,762.36,398.21,1169.5,771.3,398.2,0.89,0.0,0.4057,0.01,6.47,Support,6
12544,ceers-full,4.55,0.16998,231.3,225.53,5.77,240.3,234.5,5.8,0.0,0.0,0.1339,0.775,3.36,Weak,6
13736,ceers-full,5.357,0.16998,31.12,30.57,0.55,40.1,39.5,0.5,1.39,1.52,0.3114,0.01,10.25,Neutral,6
14076,ceers-full,5.661,0.16998,43.88,1.26,42.61,52.8,10.2,42.6,2.06,0.75,0.0006,2.5,4.56,Support,6
19354,ceers-full,5.428,0.16998,139.58,137.72,1.87,148.5,146.7,1.9,1.41,1.53,0.1471,0.01,11.06,Neutral,6
20010,ceers-full,8.934,0.16998,11.64,11.82,-0.18,20.6,20.8,-0.2,1.74,1.75,0.3436,0.01,3.96,Neutral,6
20632,ceers-full,5.653,0.16998,5.53,93.88,-88.35,14.5,102.8,-88.4,2.74,3.61,0.2699,0.01,13.65,Null wins,6
20897,ceers-full,4.533,0.16998,1595.29,1376.57,218.72,1604.2,1385.5,218.7,0.0,0.0,0.09,0.321,29.35,Support,6
22049,ceers-full,7.135,0.16998,91.84,109.87,-18.03,100.8,118.8,-18.0,4.51,4.37,0.3229,0.01,10.71,Null wins,6
22239,ceers-full,7.131,0.16998,0.81,0.86,-0.05,9.8,9.8,-0.0,2.64,2.76,0.0001,2.5,30.53,Neutral,6
23054,ceers-full,6.868,0.16998,3.71,3.73,-0.02,12.7,12.7,-0.0,0.0,0.07,0.0,2.5,5.42,Neutral,6
24464,ceers-full,5.655,0.16998,80.95,6.47,74.48,89.9,15.4,74.5,3.01,3.04,0.0001,2.5,7.18,Support,6
28748,ceers-full,4.753,0.16998,2516.2,2516.82,-0.62,2525.2,2525.8,-0.6,0.02,0.14,0.2231,0.01,10.22,Neutral,6
29421,ceers-full,4.785,0.16998,1981.06,1979.01,2.04,1990.0,1988.0,2.0,0.0,0.13,0.0,0.54,4.25,Weak,6
30600,ceers-full,4.026,0.16998,53.68,28.58,25.09,62.6,37.5,25.1,0.37,0.0,0.3997,0.061,9.93,Support,6
36886,ceers-full,4.45,0.16998,540.23,448.35,91.88,549.2,457.3,91.9,1.65,1.55,0.2714,0.01,8.34,Support,6
36985,ceers-full,5.654,0.16998,2.45,133.78,-131.33,11.4,142.7,-131.3,2.62,3.48,0.3101,0.01,14.44,Null wins,6
39094,ceers-full,4.732,0.16998,1176.52,1175.12,1.4,1185.5,1184.1,1.4,0.0,0.05,0.2618,0.164,4.81,Neutral,6
40589,ceers-full,8.007,0.16998,3.79,87.31,-83.52,12.7,96.3,-83.5,3.52,0.71,0.4066,0.01,6.7,Null wins,6
41179,ceers-full,7.242,0.16998,83.14,69.26,13.88,92.1,78.2,13.9,0.0,0.0,0.1345,0.65,3.56,Support,6
41913,ceers-full,5.246,0.16998,3999.72,4011.77,-12.06,4008.7,4020.7,-12.1,4.54,4.68,0.1775,0.01,24.57,Null wins,6
42093,ceers-full,6.446,0.16998,1164.41,745.73,418.67,1173.4,754.7,418.7,1.33,0.0,0.3745,0.01,16.71,Support,6
47021,ceers-full,8.023,0.16998,6.26,8.52,-2.26,15.2,17.5,-2.3,4.02,0.91,0.5457,0.01,3.77,Null wins,6
48983,ceers-full,7.137,0.16998,52.66,64.62,-11.97,61.6,73.6,-12.0,0.99,1.12,0.2502,0.01,11.93,Null wins,6
49360,ceers-full,4.737,0.16998,54.35,51.27,3.07,63.3,60.2,3.1,0.0,0.0,0.2354,0.598,3.04,Weak,6
55490,ceers-full,7.149,0.16998,21.47,20.44,1.03,30.4,29.4,1.0,1.72,1.84,0.2981,0.015,8.62,Neutral,6
57051,ceers-full,5.668,0.16998,16.18,8.28,7.91,25.1,17.2,7.9,3.3,3.72,0.0003,2.5,5.97,Weak,6
58630,ceers-full,4.547,0.16998,1089.32,1091.35,-2.03,1098.3,1100.3,-2.0,0.02,0.14,0.358,0.061,6.4,Null wins,6
59162,ceers-full,7.841,0.16998,2.15,477.62,-475.47,11.1,486.6,-475.5,2.86,1.51,0.521,0.01,4.81,Null wins,6
59626,ceers-full,6.367,0.16998,2760.36,1489.31,1271.05,2769.3,1498.3,1271.1,0.81,0.0,0.1511,0.613,3.51,Support,6
60774,ceers-full,5.285,0.16998,198.66,199.53,-0.88,207.6,208.5,-0.9,3.59,3.75,0.2114,0.234,7.49,Neutral,6
61323,ceers-full,7.127,0.16998,37.61,38.26,-0.64,46.6,47.2,-0.6,2.31,2.45,0.3306,0.01,8.77,Neutral,6
63106,ceers-full,5.656,0.16998,41.84,44.09,-2.25,50.8,53.0,-2.3,3.45,4.06,0.2499,0.01,6.9,Null wins,6
67137,ceers-full,7.496,0.16998,35.86,192.93,-157.07,44.8,201.9,-157.1,0.64,1.17,0.0005,2.5,1.57,Null wins,6
68816,ceers-full,4.532,0.16998,356.33,321.18,35.15,365.3,330.1,35.1,0.0,0.0,0.1555,0.42,12.35,Support,6
70681,ceers-full,7.901,0.16998,5.66,263.8,-258.14,14.6,272.8,-258.1,2.06,0.85,0.5496,0.01,6.41,Null wins,6
71267,ceers-full,7.518,0.16998,4.17,54.67,-50.5,13.1,63.6,-50.5,2.99,1.52,0.6008,0.01,4.01,Null wins,6
71321,ceers-full,7.129,0.16998,2.01,2.05,-0.04,11.0,11.0,-0.0,3.57,3.69,0.1791,0.01,8.69,Neutral,6
71380,ceers-full,7.126,0.16998,26.96,27.43,-0.46,35.9,36.4,-0.5,3.82,3.94,0.0973,0.01,15.0,Neutral,6
72633,ceers-full,5.443,0.16998,123.76,123.17,0.58,132.7,132.1,0.6,2.92,3.05,0.0017,2.5,2.27,Neutral,6
72956,ceers-full,8.904,0.16998,25.47,26.27,-0.8,34.4,35.2,-0.8,0.39,0.4,0.4673,0.01,4.78,Neutral,6
73890,ceers-full,5.66,0.16998,20.23,0.89,19.33,29.2,9.9,19.3,3.25,2.43,0.059,1.149,4.28,Support,6
7242,primer-cosmos-west,5.659,0.16998,33.5,0.81,32.69,76.7,11.3,65.4,2.14,0.0,0.0952,0.902,3.55,Support,7
8118,primer-cosmos-west,5.642,0.16998,12.84,3.12,9.72,35.4,16.0,19.4,3.77,1.11,0.1931,0.669,3.24,Weak,7
13074,primer-cosmos-west,5.215,0.16998,388.17,389.55,-1.38,786.1,788.8,-2.8,2.92,3.09,0.1168,0.386,14.26,Neutral,7
13666,primer-cosmos-west,5.288,0.16998,3.64,3.71,-0.06,17.0,17.1,-0.1,1.83,1.97,0.0218,1.392,7.72,Neutral,7
15233,primer-cosmos-west,4.986,0.16998,498.21,437.28,60.94,1006.2,884.3,121.9,0.0,0.0,0.0346,1.012,8.5,Support,7
16152,primer-cosmos-west,5.714,0.16998,2206.22,932.73,1273.49,4422.2,1875.2,2547.0,1.01,0.0,0.1332,0.751,3.12,Support,7
18540,primer-cosmos-west,8.934,0.16998,4.77,4.91,-0.14,19.3,19.6,-0.3,1.01,1.0,0.3765,0.01,6.46,Neutral,7
21037,primer-cosmos-west,4.476,0.16998,258.59,108.3,150.29,526.9,226.3,300.6,0.07,0.0,0.0792,0.718,16.81,Support,7
21620,primer-cosmos-west,8.087,0.16998,0.44,24.81,-24.37,10.6,59.3,-48.7,3.56,0.71,0.5301,0.01,6.67,Null wins,7
22379,primer-cosmos-west,5.735,0.16998,51.31,76.54,-25.23,112.4,162.8,-50.5,0.53,0.0,0.5135,0.01,10.69,Null wins,7
22483,primer-cosmos-west,7.135,0.16998,2.35,2.36,-0.01,14.4,14.4,-0.0,3.51,3.63,0.3797,0.06,5.55,Neutral,7
22702,primer-cosmos-west,5.431,0.16998,43.29,41.87,1.42,96.3,93.5,2.8,2.92,3.05,0.0516,0.01,16.78,Neutral,7
25633,primer-cosmos-west,7.051,0.16998,4.56,6.31,-1.76,18.8,22.4,-3.5,4.17,4.11,0.1872,0.01,17.88,Neutral,7
26495,primer-cosmos-west,5.02,0.16998,1600.11,1594.53,5.58,3210.0,3198.8,11.2,0.57,0.69,0.1394,0.098,12.75,Weak,7
28491,primer-cosmos-west,5.585,0.16998,89.04,4.77,84.27,187.8,19.3,168.5,3.3,2.93,0.2584,0.01,12.9,Support,7
28500,primer-cosmos-west,5.429,0.16998,1.11,1.13,-0.01,12.0,12.0,-0.0,4.26,4.4,0.0587,0.565,16.0,Neutral,7
29372,primer-cosmos-west,5.386,0.16998,1.79,1.77,0.02,13.3,13.3,0.0,3.23,3.36,0.0949,0.886,3.85,Neutral,7
29568,primer-cosmos-west,4.36,0.16998,62.83,53.59,9.24,135.4,116.9,18.5,0.43,0.1,0.4472,0.01,7.57,Weak,7
30073,primer-cosmos-west,6.004,0.16998,157.18,149.61,7.58,324.1,308.9,15.2,0.52,0.0,0.5408,0.01,5.45,Weak,7
30145,primer-cosmos-west,5.665,0.16998,18.73,4.19,14.54,47.2,18.1,29.1,3.1,3.01,0.0003,2.5,6.58,Support,7
31319,primer-cosmos-west,6.334,0.16998,122.34,14.77,107.58,254.4,39.3,215.2,2.54,1.11,0.1645,0.63,3.4,Support,7
31661,primer-cosmos-west,4.463,0.16998,20.45,3.46,16.99,50.6,16.7,34.0,0.97,0.0,0.3067,0.01,4.11,Support,7
32535,primer-cosmos-west,5.749,0.16998,330.9,481.7,-150.8,671.5,973.1,-301.6,0.0,0.0,0.5401,0.178,2.99,Null wins,7
33230,primer-cosmos-west,4.752,0.16998,45.05,41.02,4.03,99.8,91.8,8.1,0.0,0.0,0.1357,0.76,3.06,Weak,7
36162,primer-cosmos-west,6.411,0.16998,2017.06,814.02,1203.03,4043.8,1637.8,2406.1,1.01,0.0,0.1701,0.468,4.38,Support,7
42656,primer-cosmos-west,5.685,0.16998,272.97,11.79,261.18,555.7,33.3,522.4,2.06,0.0,0.1095,0.823,3.28,Support,7
43505,primer-cosmos-west,4.675,0.16998,230.22,227.1,3.12,470.2,463.9,6.2,0.0,0.0,0.1852,0.35,6.56,Weak,7
44446,primer-cosmos-west,7.131,0.16998,16.81,16.58,0.22,43.3,42.9,0.4,2.12,2.25,0.2233,0.355,5.96,Neutral,7
46914,primer-cosmos-west,5.655,0.16998,2.97,6.2,-3.24,15.7,22.1,-6.5,2.69,3.35,0.2627,0.01,9.89,Null wins,7
47165,primer-cosmos-west,5.234,0.16998,150.51,152.71,-2.2,310.8,315.1,-4.4,5.0,5.0,0.2257,0.429,6.06,Null wins,7
50300,primer-cosmos-west,5.696,0.16998,5.55,0.3,5.25,20.8,10.3,10.5,2.19,0.08,0.4502,0.146,3.73,Weak,7
50560,primer-cosmos-west,5.146,0.16998,58.35,53.21,5.13,126.4,116.2,10.3,0.0,0.0,0.0821,0.771,8.16,Weak,7
51657,primer-cosmos-west,4.794,0.16998,3861.29,3859.09,2.2,7732.3,7727.9,4.4,0.2,0.33,0.1449,0.072,9.91,Weak,7
53626,primer-cosmos-west,5.655,0.16998,26.14,2.56,23.58,62.0,14.8,47.2,2.92,3.05,0.0002,2.5,5.02,Support,7
54067,primer-cosmos-west,5.656,0.16998,0.93,0.49,0.43,11.6,10.7,0.9,4.01,4.99,0.2804,0.161,6.51,Neutral,7
55716,primer-cosmos-west,4.438,0.16998,3243.92,2018.69,1225.22,6497.6,4047.1,2450.4,0.95,0.24,0.1461,0.385,7.15,Support,7
1498,gds,4.663,0.16998,152.76,113.66,39.1,315.2,237.0,78.2,0.0,0.0,0.1648,0.137,15.25,Support,7
2981,gds,4.812,0.16998,194.11,193.99,0.12,398.0,397.7,0.2,0.9,1.03,0.0003,2.5,4.96,Neutral,7
3099,gds,5.458,0.16998,4.85,4.79,0.06,19.4,19.3,0.1,3.82,3.96,0.0445,0.784,11.39,Neutral,7
5434,gds,4.107,0.16998,1010.57,407.23,603.34,2030.9,824.2,1206.7,1.26,0.6,0.4173,0.01,7.14,Support,7
14381,gds,5.444,0.16998,14.08,14.02,0.06,37.9,37.8,0.1,3.37,3.5,0.0007,2.5,5.99,Neutral,7
14605,gds,6.928,0.16998,250.11,242.33,7.78,509.9,494.4,15.6,0.0,0.0,0.109,0.738,1.98,Weak,7
16053,gds,6.902,0.16998,25.06,24.5,0.56,59.9,58.7,1.1,0.0,0.0,0.15,0.716,2.07,Neutral,7
18537,gds,4.277,0.16998,1886.94,692.11,1194.84,3783.6,1393.9,2389.7,0.33,0.0,0.1593,0.694,3.66,Support,7
22388,gds,7.182,0.16998,8404.11,8330.3,73.81,8413.1,8339.3,73.8,4.24,4.35,0.0079,1.858,2.06,Support,6
23636,gds,7.133,0.16998,8.05,8.76,-0.71,17.0,17.7,-0.7,2.55,2.68,0.0,2.5,7.85,Neutral,6
23868,gds,8.928,0.16998,35.7,36.69,-0.99,81.1,83.1,-2.0,0.49,0.49,0.2701,0.01,12.5,Neutral,7
29303,gds,5.986,0.16998,116.78,12.03,104.75,243.3,33.8,209.5,2.57,1.66,0.0314,1.181,3.68,Support,7
32147,gds,4.603,0.16998,1506.52,1512.25,-5.73,3022.8,3034.2,-11.5,1.18,1.32,0.0006,2.5,5.26,Null wins,7
32402,gds,4.942,0.16998,13.4,13.39,0.01,36.5,36.5,0.0,2.14,2.28,0.0009,2.5,4.8,Neutral,7
35367,gds,5.489,0.16998,3880.87,3850.33,30.53,7771.5,7710.4,61.1,0.55,0.67,0.0764,0.178,16.02,Support,7
37563,gds,5.713,0.16998,295.37,31.54,263.82,600.5,72.8,527.6,2.26,0.0,0.0688,1.035,2.09,Support,7
39509,gds,4.288,0.16998,102.34,57.5,44.84,214.4,124.7,89.7,0.65,0.0,0.2366,0.413,5.07,Support,7
41129,gds,7.133,0.16998,2.43,2.44,-0.01,14.6,14.6,-0.0,3.01,3.14,0.1115,0.01,32.54,Neutral,7
44531,gds,7.124,0.16998,0.82,0.84,-0.02,9.8,9.8,-0.0,2.68,2.81,0.3768,0.01,6.84,Neutral,6
45202,gds,7.131,0.16998,45.75,48.14,-2.39,101.2,106.0,-4.8,2.77,2.9,0.157,0.01,20.93,Null wins,7
46221,gds,4.045,0.16998,551.72,129.95,421.77,1113.2,269.6,843.5,0.66,0.0,0.2717,0.393,5.11,Support,7
46281,gds,4.79,0.16998,20.87,20.78,0.08,51.5,51.3,0.2,0.0,0.1,0.0002,2.5,6.85,Neutral,7
51983,gds,7.135,0.16998,41.17,41.37,-0.2,92.1,92.5,-0.4,3.34,3.46,0.1625,0.01,12.24,Neutral,7
52017,gds,6.331,0.16998,314.04,15.26,298.79,637.8,40.2,597.6,1.92,0.0,0.1122,0.773,3.73,Support,7
64049,gds,5.271,0.16998,5.04,4.98,0.06,19.8,19.7,0.1,2.31,2.44,0.0513,1.004,6.88,Neutral,7
65646,gds,5.658,0.16998,26.9,0.79,26.11,63.5,11.3,52.2,4.61,4.98,0.1406,0.376,9.67,Support,7
66116,gds,6.846,0.16998,59.0,57.79,1.22,127.7,125.3,2.4,0.42,0.53,0.2644,0.139,7.23,Neutral,7
